License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,204,all_deer,SUM,1745,10705,6,552,426,124,2,32,520,194,219
2004,204,md,N,50,244,5,14,14,0,0,4,11,11,4
2004,204,md,R,1695,10462,6,132,129,4,0,1,131,63,66
2004,204,md,SUM,1745,10705,6,146,143,4,0,5,141,74,69
2004,204,wt,N,50,244,5,2,0,2,0,2,0,0,0
2004,204,wt,R,1695,10462,6,397,276,119,2,25,372,117,146
2004,204,wt,SUM,1745,10705,6,399,276,121,2,27,372,117,146
2004,210,all_deer,N,107,537,5,20,20,0,0,0,20,14,6
2004,210,all_deer,R,797,4850,6,195,131,59,6,6,189,40,86
2004,210,all_deer,SUM,904,5388,6,216,151,59,6,6,210,54,92
2004,210,md,N,107,537,5,13,13,0,0,0,13,11,3
2004,210,md,R,797,4850,6,55,54,1,0,5,51,13,39
2004,210,md,SUM,904,5388,6,68,67,1,0,5,64,24,41
2004,210,wt,N,107,537,5,7,7,0,0,0,7,4,4
2004,210,wt,R,797,4850,6,140,77,58,6,2,139,26,47
2004,210,wt,SUM,904,5388,6,147,84,58,6,2,146,30,51
2004,211,all_deer,N,40,262,7,1,1,0,0,0,1,1,0
2004,211,all_deer,R,244,1663,7,52,52,0,0,2,50,31,20
2004,211,all_deer,SUM,284,1925,7,54,54,0,0,2,52,32,20
2004,211,md,N,40,262,7,1,1,0,0,0,1,1,0
2004,211,md,R,244,1663,7,43,43,0,0,0,43,23,20
2004,211,md,SUM,284,1925,7,44,44,0,0,0,44,24,20
2004,211,wt,N,40,262,7,0,0,0,0,0,0,0,0
2004,211,wt,R,244,1663,7,10,10,0,0,2,8,8,0
2004,211,wt,SUM,284,1925,7,10,10,0,0,2,8,8,0
2004,212,all_deer,N,132,728,6,32,28,3,0,0,32,14,14
2004,212,all_deer,R,1180,8037,7,372,289,81,2,29,343,131,134
2004,212,all_deer,SUM,1312,8764,7,404,318,84,2,29,375,145,148
2004,212,md,N,132,728,6,25,25,0,0,0,25,14,11
2004,212,md,R,1180,8037,7,238,205,33,0,17,221,103,93
2004,212,md,SUM,1312,8764,7,263,230,33,0,17,246,118,103
2004,212,wt,N,132,728,6,7,4,3,0,0,7,0,4
2004,212,wt,R,1180,8037,7,134,84,48,2,12,122,27,42
2004,212,wt,SUM,1312,8764,7,141,88,52,2,12,129,27,45
2004,213,all_deer,N,53,225,4,0,0,0,0,0,0,0,0
2004,213,all_deer,R,361,2499,7,69,55,10,4,5,64,21,26
2004,213,all_deer,SUM,414,2725,7,69,55,10,4,5,64,21,26
2004,213,md,N,53,225,4,0,0,0,0,0,0,0,0
2004,213,md,R,361,2499,7,51,51,0,0,0,51,20,23
2004,213,md,SUM,414,2725,7,51,51,0,0,0,51,20,23
2004,213,wt,N,53,225,4,0,0,0,0,0,0,0,0
2004,213,wt,R,361,2499,7,18,5,10,4,5,13,2,3
